Restaurant Name,Google Score,Number of Reviews,Municipality,Address,Lat/Long,Specialty Cuisine
Mosto's Restorant,4.5,557,Pudahuel,"La Estrella 425, 425, Pudahuel, Región Metropolitana, Chile","-33.4581754, -70.7514535","establishment, food, point_of_interest, restaurant"
Restorant IL Delicious,4.5,345,Pudahuel,"Salar Surire 1278, Pudahuel, Región Metropolitana, Chile","-33.433799, -70.7750319","establishment, food, point_of_interest, restaurant"
El Bajón a La Chilena,4.5,463,Pudahuel,"Av. Laguna Sur 7131, 9020000 Pudahuel, Región Metropolitana, Chile","-33.4621437, -70.7358668","establishment, food, point_of_interest, restaurant"
Chi Tak,4.5,348,Pudahuel,"Av. Américo Vespucio 499, Pudahuel, Santiago, Región Metropolitana, Chile","-33.45465370000001, -70.7684293","establishment, food, point_of_interest, restaurant"
Buen Sabor,4.6,1037,Pudahuel,"Buin 8740, 9040655 Pudahuel, Región Metropolitana, Chile","-33.4359122, -70.7516195","establishment, food, point_of_interest, restaurant"
CAFÉ VERGARA,4.5,360,Quilicura,"Raimundo Romo 393, 8700081 Quilicura, Región Metropolitana, Chile","-33.3675934, -70.73207529999999","bakery, bar, cafe, establishment, food, point_of_interest, restaurant, store"
La Barraca Sangucheria,4.7,328,Quilicura,"Sector, Avenida las Torres 437 ,Quilicura, 8700710 Valle Lo Campino, Santiago, Región Metropolitana, Chile","-33.3830619, -70.7291049","bar, establishment, food, point_of_interest, restaurant"
Sushi Sésamo Cocina Nikkei & Bar,4.6,990,Quilicura,"Lo Marcoleta # 261, Quilicura 22, 6277625 Santiago, Quilicura, Región Metropolitana, Chile","-33.3580507, -70.7312413","bar, establishment, food, point_of_interest, restaurant"
Restaurant EL CARMELO,4.5,462,Quinta Normal,"Tránsito 5238, 8500460 Quinta Normal, Región Metropolitana, Chile","-33.4352374, -70.7080301","establishment, food, point_of_interest, restaurant"
Capilla los Troncos,4.5,1391,Quinta Normal,"Progreso 1337, 8500409 Quinta Normal, Región Metropolitana, Chile","-33.4349736, -70.7021078","establishment, food, point_of_interest, restaurant"
Sangucheria CASACOMBI,4.6,588,Quinta Normal,"Dr. Raúl Denis 2677, 8520375 Quinta Normal, Región Metropolitana, Chile","-33.4144364, -70.6986599","establishment, food, point_of_interest, restaurant"
